danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.882,0.741,-6.504,0.0383,0.209,0.0,0.0871,0.612,119.995,34xLCJSfCdBPcPxZTRezwS,257071,2
0.571,0.845,-4.4,0.0595,0.0549,5.5e-05,0.081,0.409,163.884,0C3shWEOObGT5IxApC7Mkg,195365,5
0.582,0.779,-4.797,0.26,0.397,0.0,0.16,0.468,169.796,5psDugCQ2V8uayDeSuTvdD,185013,4
0.535,0.752,-7.959,0.0339,0.00221,0.00788,0.104,0.235,119.919,7qPQi3eAzLnJfE94ESQXvx,243387,5
0.304,0.927,-4.411,0.37,0.00271,0.0,0.92,0.445,143.611,6XN1f9Q785CEko1cvel1CX,168773,0
0.662,0.726,-6.786,0.0516,0.132,0.0,0.455,0.408,149.944,7jYwZOptDPesQgzj7vhsEF,148800,0
0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.273,0.303,106.767,69QHm3pustz01CJRwdo20z,312293,5
0.706,0.749,-5.786,0.082,0.000916,0.00152,0.112,0.79,150.079,0rCl2Tq2rctLJaqcv4nzV1,162000,2
0.707,0.569,-8.891,0.0269,0.675,7e-06,0.133,0.358,106.038,0VrmMaSjOzHZEqHGHfOWbo,214326,1
0.928,0.725,-6.534,0.228,0.029,9.59e-06,0.205,0.398,125.022,1b3thE0t0BxzLqCuRkqKZE,155423,4
0.657,0.7,-6.029,0.0256,0.0519,0.803,0.0905,0.597,130.019,747IPqYbxfNT9JWufpfWSI,181880,3
0.538,0.869,-3.373,0.0384,0.0684,0.000224,0.102,0.502,146.062,7BYLU2Qei6ChsJeuKfRFop,156857,5
0.735,0.449,-9.933,0.383,0.859,0.0,0.213,0.514,146.016,3zkyus0njMCL6phZmNNEeN,175890,4
0.65,0.794,-4.631,0.0802,0.0833,0.0,0.267,0.676,139.921,7JA1uUtLhPQjRBAIR0GPfW,118328,2
0.695,0.837,-5.617,0.281,0.245,0.0,0.367,0.639,115.067,2q95XoeFGixx8b5LNF6Ey1,244174,4
0.759,0.88,-5.857,0.155,0.0569,0.000722,0.165,0.0864,132.951,47ZtMQwbGGL5A3sqwSBj81,169624,5
0.544,0.728,-5.358,0.05,0.00264,0.00959,0.427,0.281,174.983,1uWTlK72KKpzsCHhu62OV5,292587,5
0.65,0.566,-9.838,0.303,0.199,0.53,0.477,0.377,151.107,4r8vtv55ZqVxRAXdcLGS8J,164327,4
0.601,0.825,-4.797,0.316,0.00477,3.49e-06,0.0568,0.357,97.888,71aOn5nXCpE29zS83xp6nS,164400,4
0.857,0.86,-8.651,0.393,0.131,0.0,0.509,0.72,133.099,0Vj7Tvl2Wp2kUIwChus9X8,205268,4
0.361,0.927,-5.372,0.425,0.00127,0.0,0.355,0.35,176.857,1f7gRtJrvEUtTaTtqUSax4,134000,4
0.683,0.888,-5.224,0.131,0.125,0.0,0.774,0.455,164.996,7qqZZt1ey8D2OBRkccCakO,178819,0
0.623,0.574,-8.433,0.0547,0.0025,0.000195,0.296,0.488,124.95,194lppukv9RRDj2yqHrO6N,223007,5
0.815,0.439,-8.144,0.0944,0.272,0.0,0.112,0.0611,119.835,0oFHlnUwZVhizux1FOAsfr,289485,1
0.686,0.718,-5.054,0.0431,0.00637,0.000703,0.119,0.557,115.026,0b6wdul3A5sQNpIOv03OxP,206320,2
0.776,0.923,-5.494,0.16,0.0051,0.00296,0.0917,0.424,156.044,1qQWAmVIfqIEGH7BNBrbPO,204223,2
0.649,0.737,-5.54,0.0635,0.0253,0.0,0.199,0.567,161.953,3zMK5gFf92gp8w7SxW2PrZ,134444,2
0.547,0.831,-11.298,0.0319,0.0874,8.34e-06,0.222,0.909,168.581,5mwzpzRue1SBWwrbbhXfbf,241400,2
0.471,0.788,-6.868,0.0387,0.0126,4.45e-06,0.201,0.448,74.015,1I2ziAYoM5rEh5uWBp76Tx,200373,5
0.451,0.793,-6.579,0.0679,0.0792,0.0,0.111,0.53,115.378,7ySBYnlLSwaoHdaY4en58R,184880,5
0.529,0.955,-1.95,0.28,0.0328,0.000136,0.392,0.314,75.014,5tqcTBZebgCU5pe0rjPHeR,152350,4
0.488,0.902,-5.117,0.0511,0.0158,5.38e-05,0.19,0.196,160.103,3zMa1FmLbmcSNAYgXCvybp,164000,5
0.489,0.703,-7.527,0.0755,0.23,0.0,0.0639,0.268,179.889,1U2WupOz7dwsC5xBXl7Ldn,182187,5
